Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,6.85,6.85,4,7.41,7.41,2,6.99,6.99,3,7.14,7.14
1,9.21,16.06,4,9.40,16.81,2,9.10,16.09,3,9.11,16.25
2,8.99,25.05,4,8.95,25.76,1,8.51,24.60,3,8.89,25.14
2,9.01,34.06,4,9.07,34.83,1,8.77,33.37,3,9.03,34.17
2,9.50,43.557,3,9.32,44.143,1,9.16,42.528,0,,PEN
