GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
2,10.38,10.38,3,10.51,10.51,4,10.68,10.68,5,10.78,10.78,1,10.24,10.24,6,10.83,10.83
3,13.12,23.50,4,13.13,23.64,5,13.16,23.84,1,12.53,23.31,2,13.14,23.38,6,13.13,23.96
4,11.39,34.89,5,11.36,35.00,6,11.19,35.03,2,11.41,34.72,1,11.31,34.69,3,10.90,34.86
6,10.81,45.70,4,10.43,45.43,1,10.08,45.11,3,10.64,45.36,2,10.56,45.25,5,10.69,45.55
6,10.08,55.78,4,10.10,55.53,2,10.23,55.34,1,9.89,55.25,3,10.20,55.45,5,10.10,55.65
6,9.75,1:05.53,4,9.78,1:05.31,2,9.78,1:05.12,1,9.75,1:05.00,3,9.78,1:05.23,5,9.76,1:05.41
6,9.71,1:15.24,3,9.61,1:14.92,2,9.70,1:14.82,1,9.70,1:14.70,4,9.71,1:14.94,5,9.72,1:15.13
6,9.16,1:24.40,1,8.75,1:23.67,3,9.06,1:23.88,2,9.01,1:23.71,4,9.08,1:24.02,5,9.02,1:24.15
6,9.04,1:33.44,1,9.05,1:32.72,3,9.02,1:32.90,2,9.12,1:32.83,4,8.98,1:33.00,5,8.96,1:33.11
6,9.18,1:42.62,1,9.32,1:42.04,2,9.26,1:42.16,4,9.54,1:42.37,3,9.27,1:42.27,5,9.34,1:42.45
5,9.30,1:51.92,6,18.48,2:00.52,1,9.32,1:51.48,3,9.24,1:51.61,2,9.24,1:51.51,4,9.25,1:51.70
4,9.53,2:01.45,6,21.77,2:22.29,5,10.56,2:02.04,2,9.05,2:00.66,1,8.92,2:00.43,3,9.19,2:00.89
4,9.65,2:11.10,6,13.71,2:36.00,5,10.50,2:12.54,2,8.95,2:09.61,1,9.04,2:09.47,3,9.18,2:10.07
3,9.89,2:20.988,5,11.14,2:47.131,4,11.35,2:23.882,1,9.40,2:19.006,0,,PEN,2,9.51,2:19.573
