AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME
1,8.41,8.41,5,9.02,9.02,3,8.71,8.71,2,8.56,8.56,4,8.92,8.92,6,9.14,9.14,7,9.28,9.28
1,12.39,20.80,6,12.09,21.11,4,12.26,20.97,2,12.33,20.89,3,11.98,20.90,7,12.07,21.21,5,11.80,21.08
3,11.03,31.83,5,10.92,32.03,7,11.19,32.16,4,11.04,31.93,2,10.82,31.72,6,10.88,32.09,1,10.36,31.44
2,10.77,42.60,4,10.81,42.84,7,10.97,43.13,5,10.99,42.92,3,11.07,42.79,6,10.89,42.98,1,11.07,42.51
4,10.96,53.56,3,10.71,53.55,7,10.84,53.97,6,10.86,53.78,1,10.50,53.29,5,10.69,53.67,2,10.94,53.45
4,10.44,1:04.00,3,10.35,1:03.90,7,10.29,1:04.26,5,10.25,1:04.03,1,10.34,1:03.63,6,10.43,1:04.10,2,10.33,1:03.78
5,9.59,1:13.59,4,9.58,1:13.48,7,9.57,1:13.83,1,9.05,1:13.08,2,9.61,1:13.24,6,9.58,1:13.68,3,9.59,1:13.37
5,9.06,1:22.65,4,9.08,1:22.56,7,9.00,1:22.83,1,9.09,1:22.17,2,9.09,1:22.33,6,9.05,1:22.73,3,9.08,1:22.45
5,9.04,1:31.69,4,9.03,1:31.59,7,9.05,1:31.88,1,9.14,1:31.31,2,9.05,1:31.38,6,9.06,1:31.79,3,9.00,1:31.45
5,8.90,1:40.59,4,8.90,1:40.49,7,8.94,1:40.82,1,8.85,1:40.16,2,8.89,1:40.27,6,8.91,1:40.70,3,8.95,1:40.40
5,8.70,1:49.29,4,8.69,1:49.18,7,8.67,1:49.49,1,8.71,1:48.87,2,8.68,1:48.95,6,8.70,1:49.40,3,8.69,1:49.09
5,8.59,1:57.88,3,8.53,1:57.71,7,8.58,1:58.07,2,8.75,1:57.62,1,8.58,1:57.53,6,8.56,1:57.96,4,8.65,1:57.74
4,8.67,2:06.55,2,8.63,2:06.34,7,8.79,2:06.86,3,8.75,2:06.37,1,8.68,2:06.21,5,8.69,2:06.65,6,9.10,2:06.84
3,8.67,2:15.22,2,8.79,2:15.13,7,9.24,2:16.105,5,8.98,2:15.35,1,8.86,2:15.07,4,8.66,2:15.31,6,9.23,2:16.071
