Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,13.82,13.82,2,13.91,13.91,3,13.97,13.97,4,14.09,14.09
2,11.27,25.09,3,11.26,25.17,1,11.09,25.06,4,11.22,25.31
2,10.18,35.27,3,10.18,35.35,1,10.14,35.20,4,10.18,35.49
4,10.71,45.98,3,10.54,45.89,2,10.57,45.77,1,10.01,45.50
4,9.88,55.86,3,9.77,55.66,2,9.73,55.50,1,9.99,55.49
4,9.79,1:05.65,3,9.77,1:05.43,1,9.74,1:05.24,2,9.84,1:05.33
4,10.01,1:15.66,3,10.01,1:15.44,1,9.96,1:15.20,2,9.98,1:15.31
4,10.44,1:26.10,3,10.00,1:25.44,1,10.01,1:25.21,2,10.01,1:25.32
4,11.04,1:37.136,3,10.28,1:35.715,1,10.27,1:35.471,2,10.23,1:35.544
