VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Luke CULLEN POSITION,Luke CULLEN LAP TIME,Luke CULLEN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,12.64,12.64,2,12.74,12.74,5,13.19,13.19,6,13.35,13.35,4,13.01,13.01,3,12.88,12.88
1,9.53,22.17,2,9.45,22.19,5,9.47,22.66,6,9.54,22.89,4,9.47,22.48,3,9.51,22.39
2,9.18,31.35,1,9.04,31.23,5,8.98,31.64,6,9.50,32.39,4,9.06,31.54,3,9.04,31.43
3,9.17,40.52,1,9.01,40.24,5,9.11,40.75,6,9.86,42.25,4,9.05,40.59,2,8.92,40.35
3,9.02,49.54,1,8.92,49.16,4,8.89,49.64,6,10.24,52.49,5,9.09,49.68,2,8.91,49.26
4,9.16,58.70,1,8.87,58.03,3,8.88,58.52,6,10.87,1:03.36,5,9.07,58.75,2,8.94,58.20
5,9.53,1:08.23,1,8.84,1:06.87,3,8.88,1:07.40,6,11.36,1:14.72,4,8.94,1:07.69,2,8.92,1:07.12
5,9.94,1:18.17,1,8.91,1:15.78,3,8.87,1:16.27,6,12.61,1:27.33,4,9.12,1:16.81,2,9.04,1:16.16
5,10.10,1:28.27,1,9.37,1:25.15,2,9.01,1:25.28,6,11.97,1:39.30,4,9.81,1:26.62,3,9.51,1:25.67
