Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
1,13.66,13.66,2,13.86,13.86,4,13.95,13.95,3,13.90,13.90
1,10.53,24.20,2,10.39,24.26,3,10.46,24.41,4,11.39,25.30
1,10.18,34.38,2,10.18,34.44,4,10.20,34.62,3,9.16,34.46
2,9.83,44.22,1,9.63,44.08,4,9.75,44.38,3,9.78,44.24
3,9.76,53.98,2,9.87,53.95,4,9.71,54.09,1,9.63,53.88
2,9.82,1:03.81,3,9.87,1:03.82,4,9.76,1:03.85,1,9.72,1:03.61
4,9.91,1:13.73,3,9.85,1:13.67,2,9.77,1:13.63,1,9.75,1:13.37
4,10.15,1:23.88,3,10.12,1:23.79,2,9.72,1:23.36,1,9.93,1:23.30
4,10.53,1:34.408,3,10.62,1:34.405,2,10.02,1:33.380,1,10.07,1:33.362
