TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME
3,11.40,11.40,2,11.26,11.26,5,11.71,11.71,4,11.56,11.56,1,11.23,11.23
2,15.15,26.55,3,15.43,26.69,5,15.34,27.05,4,15.37,26.93,1,15.20,26.43
2,14.04,40.59,3,14.06,40.75,5,14.03,41.08,4,14.04,40.97,1,14.04,40.47
3,13.41,54.00,1,13.17,53.92,5,13.24,54.32,4,13.27,54.24,2,13.47,53.94
3,11.33,1:05.33,1,11.24,1:05.16,5,11.33,1:05.65,4,11.30,1:05.54,2,11.32,1:05.26
2,10.90,1:16.23,1,10.95,1:16.11,5,10.94,1:16.59,4,10.94,1:16.48,3,10.99,1:16.25
2,10.49,1:26.72,1,10.51,1:26.62,5,10.54,1:27.13,4,10.54,1:27.02,3,10.61,1:26.86
2,10.04,1:36.76,1,10.04,1:36.66,5,9.97,1:37.10,4,9.99,1:37.01,3,9.99,1:36.85
3,9.85,1:46.61,1,9.85,1:46.51,5,9.86,1:46.96,4,9.77,1:46.78,2,9.75,1:46.60
3,9.60,1:56.21,2,9.50,1:56.01,5,9.50,1:56.46,4,9.45,1:56.23,1,9.28,1:55.88
4,9.58,2:05.79,2,9.24,2:05.25,5,9.49,2:05.95,3,9.09,2:05.32,1,9.30,2:05.18
4,9.70,2:15.49,2,9.47,2:14.72,5,9.67,2:15.62,3,9.41,2:14.73,1,9.48,2:14.66
5,10.11,2:25.60,3,9.59,2:24.31,4,9.96,2:25.58,1,9.22,2:23.95,2,9.58,2:24.24
5,10.39,2:35.982,3,9.74,2:34.050,4,10.15,2:35.725,1,9.64,2:33.589,2,9.76,2:33.996
