Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,13.91,13.91,1,13.90,13.90,4,14.17,14.17,2,13.91,13.91
3,11.42,25.33,1,11.23,25.13,4,11.28,25.45,2,11.30,25.21
2,10.11,35.44,1,10.24,35.37,4,10.29,35.74,3,10.42,35.63
2,10.34,45.78,1,10.30,45.67,3,10.34,46.08,4,10.49,46.12
2,10.24,56.02,1,10.23,55.90,3,10.08,56.16,4,10.14,56.26
2,9.93,1:05.95,1,9.96,1:05.86,4,10.06,1:06.22,3,9.86,1:06.12
1,9.69,1:15.64,2,9.87,1:15.73,4,9.67,1:15.89,3,9.63,1:15.75
1,9.75,1:25.39,4,10.31,1:26.04,2,9.60,1:25.49,3,9.77,1:25.52
1,9.93,1:35.319,4,11.00,1:37.033,3,9.92,1:35.406,2,9.89,1:35.403
