LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
4,14.48,14.48,5,14.70,14.70,3,14.25,14.25,1,13.95,13.95,2,14.09,14.09
4,17.72,32.20,5,17.66,32.36,3,17.83,32.08,1,17.84,31.79,2,17.85,31.94
4,16.21,48.41,5,16.17,48.53,3,16.16,48.24,1,16.18,47.97,2,16.17,48.11
3,17.15,1:05.56,1,16.89,1:05.42,5,17.51,1:05.75,2,17.53,1:05.50,4,17.57,1:05.68
2,15.10,1:20.66,3,15.28,1:20.70,5,15.36,1:21.11,4,15.42,1:20.92,1,14.94,1:20.62
3,13.28,1:33.94,1,12.89,1:33.59,5,13.05,1:34.16,4,13.13,1:34.05,2,13.16,1:33.78
3,11.99,1:45.93,1,12.09,1:45.68,5,12.04,1:46.20,4,12.03,1:46.08,2,12.00,1:45.78
3,11.34,1:57.27,2,11.47,1:57.15,5,11.32,1:57.52,4,11.25,1:57.33,1,11.30,1:57.08
3,10.29,2:07.56,4,10.49,2:07.64,5,10.18,2:07.70,1,10.03,2:07.36,2,10.38,2:07.46
4,9.98,2:17.54,5,9.94,2:17.58,3,9.81,2:17.51,2,10.06,2:17.42,1,9.85,2:17.31
4,9.60,2:27.14,5,9.71,2:27.29,3,9.54,2:27.05,2,9.56,2:26.98,1,9.57,2:26.88
4,9.72,2:36.86,5,9.64,2:36.93,3,9.76,2:36.81,2,9.75,2:36.73,1,9.72,2:36.60
3,9.23,2:46.09,5,9.38,2:46.31,4,9.48,2:46.29,2,9.35,2:46.08,1,9.35,2:45.95
3,9.48,2:55.555,4,9.42,2:55.715,5,23.47,3:09.712,2,9.33,2:55.395,1,9.38,2:55.313
