KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,David GOULET POSITION,David GOULET LAP TIME,David GOULET ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
6,8.57,8.57,3,8.37,8.37,7,8.72,8.72,2,8.21,8.21,4,8.37,8.37,1,8.18,8.18,5,8.48,8.48
6,10.92,19.49,4,10.83,19.20,7,10.89,19.61,3,10.86,19.07,5,10.94,19.31,1,10.66,18.84,2,10.52,19.00
6,10.19,29.68,3,10.18,29.38,7,10.19,29.80,4,10.32,29.39,5,10.18,29.49,1,10.26,29.10,2,10.24,29.24
6,9.87,39.55,1,9.63,39.01,7,9.85,39.65,3,9.82,39.21,5,9.94,39.43,4,10.21,39.31,2,9.88,39.12
6,10.28,49.83,1,10.39,49.40,7,10.28,49.93,4,10.39,49.60,3,10.13,49.56,5,10.38,49.69,2,10.41,49.53
6,9.99,59.82,2,10.05,59.45,7,9.99,59.92,5,10.06,59.66,3,9.98,59.54,4,9.88,59.57,1,9.84,59.37
6,9.78,1:09.60,4,9.87,1:09.32,7,9.83,1:09.75,5,9.80,1:09.46,3,9.70,1:09.24,2,9.58,1:09.15,1,9.66,1:09.03
6,9.79,1:19.39,1,9.76,1:19.08,7,9.74,1:19.49,5,9.79,1:19.25,4,9.98,1:19.22,3,10.02,1:19.17,2,10.07,1:19.10
5,9.55,1:28.94,1,9.39,1:28.47,7,9.64,1:29.13,2,9.32,1:28.57,6,9.76,1:28.98,4,9.74,1:28.91,3,9.47,1:28.57
4,9.39,1:38.33,1,9.55,1:38.02,5,9.32,1:38.45,3,9.68,1:38.25,6,9.69,1:38.67,7,9.81,1:38.72,2,9.57,1:38.14
3,9.45,1:47.78,1,9.47,1:47.49,5,9.53,1:47.98,4,9.54,1:47.79,6,9.92,1:48.59,7,10.60,1:49.32,2,9.53,1:47.67
3,9.50,1:57.28,1,9.56,1:57.05,5,9.53,1:57.51,2,9.42,1:57.21,6,10.17,1:58.76,7,10.59,1:59.91,4,9.68,1:57.35
3,9.57,2:06.85,1,9.65,2:06.70,4,9.55,2:07.06,2,9.58,2:06.79,6,10.82,2:09.58,7,10.93,2:10.84,5,9.76,2:07.11
2,9.62,2:16.465,1,9.67,2:16.365,4,10.04,2:17.100,3,9.80,2:16.584,6,11.80,2:21.374,7,11.63,2:22.468,5,10.06,2:17.170
