de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,12.89,12.89,2,12.90,12.90,3,13.01,13.01,4,13.10,13.10
3,9.77,22.66,1,9.61,22.51,2,9.63,22.64,4,9.77,22.87
3,9.69,32.35,1,9.61,32.12,2,9.61,32.25,4,9.60,32.47
3,9.64,41.99,1,9.67,41.79,2,9.64,41.89,4,9.67,42.14
3,9.70,51.69,1,9.69,51.48,2,9.71,51.60,4,9.71,51.85
3,9.67,1:01.36,1,9.63,1:01.11,2,9.65,1:01.25,4,9.60,1:01.45
4,9.65,1:11.01,2,9.73,1:10.84,1,9.52,1:10.77,3,9.54,1:10.99
4,9.88,1:20.89,3,9.91,1:20.75,2,9.76,1:20.53,1,9.35,1:20.34
4,9.85,1:30.734,3,9.88,1:30.625,2,9.78,1:30.305,1,9.48,1:29.811
