Natalia DMITRIEVA POSITION,Natalia DMITRIEVA LAP TIME,Natalia DMITRIEVA ELAPSED TIME,Caroline HALLISEY POSITION,Caroline HALLISEY LAP TIME,Caroline HALLISEY ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
3,8.691,8.691,1,8.660,8.660,2,8.686,8.686,4,8.831,8.831
3,12.069,20.760,1,11.976,20.636,4,12.223,20.908,2,11.917,20.747
2,10.786,31.545,3,11.059,31.694,4,10.832,31.740,1,10.776,31.523
4,10.922,42.467,2,10.616,42.310,1,10.404,42.143,3,10.814,42.337
2,10.819,53.286,3,10.990,53.299,1,11.101,53.243,4,11.049,53.386
1,10.655,1:03.940,3,10.935,1:04.233,2,10.924,1:04.166,4,10.942,1:04.327
1,10.794,1:14.734,4,10.829,1:15.062,2,10.758,1:14.924,3,10.713,1:15.039
1,10.843,1:25.576,2,10.697,1:25.759,3,10.840,1:25.764,4,10.832,1:25.871
1,10.701,1:36.276,3,10.781,1:36.539,2,10.620,1:36.383,4,10.789,1:36.659
1,10.382,1:46.658,3,10.381,1:46.920,2,10.510,1:46.893,4,10.381,1:47.040
1,10.346,1:57.003,3,10.378,1:57.297,2,10.312,1:57.204,4,10.337,1:57.376
1,10.345,2:07.348,4,10.428,2:07.725,2,10.409,2:07.613,3,10.330,2:07.705
1,10.641,2:17.988,3,10.468,2:18.192,2,10.463,2:18.075,4,20.949,2:28.654
4,11.29,2:29.270,2,10.35,2:28.541,1,10.37,2:28.437,3,0.08,2:28.729
