de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
2,8.45,8.45,4,8.84,8.84,5,8.96,8.96,6,9.08,9.08,3,8.58,8.58,1,8.35,8.35
3,12.64,21.09,5,12.53,21.37,1,12.00,20.96,6,12.46,21.54,4,12.61,21.19,2,12.65,21.00
3,11.91,33.00,5,11.90,33.27,1,11.81,32.77,6,11.87,33.41,4,11.96,33.15,2,11.88,32.88
3,11.81,44.81,5,11.88,45.15,1,11.79,44.56,6,11.85,45.26,4,11.87,45.02,2,11.80,44.68
3,11.17,55.98,4,10.87,56.02,2,11.29,55.85,6,10.86,56.12,5,11.09,56.11,1,11.12,55.80
5,10.16,1:06.14,1,9.93,1:05.95,3,10.19,1:06.04,2,9.90,1:06.02,6,10.07,1:06.18,4,10.32,1:06.12
6,10.02,1:16.16,2,9.96,1:15.91,5,10.02,1:16.06,1,9.80,1:15.82,4,9.79,1:15.97,3,9.82,1:15.94
6,10.19,1:26.35,3,10.01,1:25.92,5,10.10,1:26.16,2,9.97,1:25.79,4,10.04,1:26.01,1,9.76,1:25.70
6,9.89,1:36.24,3,10.11,1:36.03,5,10.04,1:36.20,2,10.13,1:35.92,4,10.09,1:36.10,1,10.10,1:35.80
5,9.82,1:46.06,2,9.57,1:45.60,6,10.02,1:46.22,3,9.78,1:45.70,4,9.71,1:45.81,1,9.70,1:45.50
6,9.58,1:55.64,2,9.33,1:54.93,5,9.39,1:55.61,3,9.38,1:55.08,4,9.34,1:55.15,1,9.31,1:54.81
6,10.01,2:05.65,2,9.18,2:04.11,5,9.41,2:05.02,3,9.23,2:04.31,4,9.31,2:04.46,1,9.19,2:04.00
6,10.64,2:16.29,2,9.29,2:13.40,5,9.52,2:14.54,3,9.21,2:13.52,4,9.31,2:13.77,1,9.29,2:13.29
6,11.39,2:27.675,2,9.42,2:22.816,5,9.99,2:24.524,3,9.45,2:22.966,4,9.42,2:23.188,1,9.45,2:22.732
