Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
2,12.80,12.80,3,12.90,12.90,4,13.04,13.04,1,12.76,12.76
2,9.86,22.66,3,9.88,22.78,4,9.89,22.93,1,9.78,22.54
2,9.86,32.52,3,9.84,32.62,4,9.82,32.75,1,9.88,32.42
2,9.98,42.50,3,10.00,42.62,4,9.97,42.72,1,9.98,42.40
4,20.87,1:03.37,1,9.81,52.43,2,9.91,52.63,3,17.93,1:00.33
3,13.56,1:16.93,1,10.15,1:02.58,2,10.05,1:02.68,4,19.32,1:19.65
3,11.74,1:28.67,1,10.59,1:13.17,2,10.61,1:13.29,4,13.28,1:32.93
3,11.61,1:40.28,1,10.71,1:23.88,2,10.69,1:23.98,4,13.37,1:46.30
0,,PEN,1,10.77,1:34.649,2,10.85,1:34.830,3,13.39,1:59.682
