Yelena SKACHKOVA POSITION,Yelena SKACHKOVA LAP TIME,Yelena SKACHKOVA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME
1,8.791,8.791,4,9.097,9.097,3,9.026,9.026,5,9.146,9.146,2,9.002,9.002,6,9.348,9.348
5,13.956,22.747,4,13.532,22.630,2,13.496,22.522,3,13.418,22.564,1,13.199,22.201,6,13.503,22.851
6,13.478,36.226,3,13.168,35.798,2,13.213,35.735,4,13.247,35.811,1,13.305,35.506,5,13.191,36.042
6,12.450,48.676,1,12.357,48.155,3,12.615,48.350,4,12.624,48.435,2,12.709,48.215,5,12.552,48.594
6,11.379,1:00.055,1,11.327,59.482,3,11.291,59.641,4,11.388,59.823,2,11.375,59.590,5,11.292,59.886
6,12.285,1:12.340,1,12.330,1:11.812,5,12.501,1:12.142,3,12.251,1:12.074,2,12.285,1:11.875,4,12.234,1:12.120
6,11.138,1:23.477,1,11.179,1:22.991,2,11.029,1:23.171,3,11.146,1:23.221,4,11.365,1:23.240,5,11.222,1:23.341
5,11.058,1:34.535,1,11.109,1:34.101,4,11.254,1:34.425,3,11.121,1:34.342,2,10.965,1:34.206,6,11.202,1:34.543
4,10.691,1:45.225,1,10.793,1:44.893,3,10.613,1:45.037,2,10.570,1:44.912,0,,,5,10.696,1:45.238
6,10.664,1:55.889,2,10.550,1:55.443,4,10.593,1:55.630,3,10.670,1:55.582,1,,1:55.440,5,10.541,1:55.779
6,10.490,2:06.380,3,10.198,2:05.641,4,10.264,2:05.894,1,10.052,2:05.634,2,10.197,2:05.637,5,10.452,2:06.231
6,10.613,2:16.993,2,10.030,2:15.671,4,9.955,2:15.849,1,9.906,2:15.540,3,10.047,2:15.684,5,10.477,2:16.708
6,11.253,2:28.246,1,9.583,2:25.253,3,10.017,2:25.866,2,9.845,2:25.385,4,10.262,2:25.946,5,10.996,2:27.704
6,11.768,2:40.013,1,9.889,2:35.142,3,10.316,2:36.181,2,9.926,2:35.311,4,10.720,2:36.666,5,11.795,2:39.499
