JONG Kwang Bom POSITION,JONG Kwang Bom LAP TIME,JONG Kwang Bom ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME
1,6.85,6.85,4,7.37,7.37,3,7.19,7.19,2,6.99,6.99
1,9.10,15.95,4,8.99,16.36,3,8.95,16.14,2,9.00,15.99
3,8.81,24.76,4,8.59,24.95,1,8.52,24.66,2,8.72,24.71
3,8.76,33.52,4,8.62,33.57,1,8.59,33.25,2,8.64,33.35
3,9.27,42.79,4,9.50,43.07,1,8.84,42.09,2,8.81,42.16
