Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
4,9.097,9.097,5,9.720,9.720,1,8.843,8.843,2,8.874,8.874,3,9.001,9.001
5,12.097,21.193,3,11.082,20.801,2,11.854,20.698,1,11.700,20.574,4,11.961,20.962
5,11.685,32.878,3,11.708,32.509,2,11.636,32.334,1,11.618,32.192,4,11.707,32.669
5,11.207,44.086,4,11.301,43.810,1,11.079,43.413,2,11.378,43.570,3,11.046,43.714
5,10.171,54.256,2,10.012,53.822,1,10.155,53.569,3,10.296,53.867,4,10.233,53.948
5,9.816,1:04.072,3,9.788,1:03.610,1,9.817,1:03.385,4,9.865,1:03.732,2,9.599,1:03.546
5,9.534,1:13.606,1,9.473,1:13.083,2,9.720,1:13.105,3,9.544,1:13.276,4,9.737,1:13.284
5,9.408,1:23.014,2,9.657,1:22.740,1,9.488,1:22.593,4,9.612,1:22.887,3,9.583,1:22.866
5,9.480,1:32.494,2,9.368,1:32.108,1,9.286,1:31.878,3,9.277,1:32.164,4,9.431,1:32.297
5,9.475,1:41.969,2,9.143,1:41.251,1,9.354,1:41.232,3,9.344,1:41.508,4,9.281,1:41.578
5,10.052,1:52.021,1,9.420,1:50.671,2,9.488,1:50.721,3,9.277,1:50.785,4,9.301,1:50.879
5,10.799,2:02.820,2,9.561,2:00.232,3,9.582,2:00.303,1,9.353,2:00.138,4,9.514,2:00.393
5,11.475,2:14.295,2,9.924,2:10.155,3,9.948,2:10.250,1,9.753,2:09.891,4,10.020,2:10.413
5,12.108,2:26.403,2,10.025,2:20.180,3,10.160,2:20.410,1,10.008,2:19.899,4,10.498,2:20.911
