Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
3,13.89,13.89,1,13.70,13.70,4,14.00,14.00,2,13.79,13.79
3,11.10,24.99,1,11.19,24.89,4,11.11,25.11,2,11.13,24.92
3,10.21,35.20,2,10.18,35.07,4,10.26,35.37,1,10.08,35.00
3,10.00,45.20,2,10.03,45.10,4,9.99,45.36,1,10.02,45.02
2,9.56,54.76,3,9.69,54.79,4,9.61,54.97,1,9.67,54.69
1,9.13,1:03.89,4,9.35,1:04.14,3,9.13,1:04.10,2,9.25,1:03.94
1,9.11,1:13.00,3,9.09,1:13.23,4,9.23,1:13.33,2,9.19,1:13.13
1,9.25,1:22.25,3,9.17,1:22.40,4,9.37,1:22.70,2,9.25,1:22.38
3,26.52,1:48.768,0,,PEN,1,9.40,1:32.094,2,10.29,1:32.670
