Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,13.07,13.07,4,13.55,13.55,2,13.21,13.21,3,13.37,13.37
1,8.46,21.53,4,8.28,21.83,2,8.42,21.63,3,8.37,21.74
2,9.50,31.03,3,9.22,31.05,1,9.25,30.88,4,9.32,31.06
4,24.03,55.06,2,9.20,40.25,1,9.26,40.14,3,9.38,40.44
4,16.46,1:11.52,2,9.37,49.62,1,9.35,49.49,3,9.36,49.80
4,13.60,1:25.12,2,9.22,58.84,1,9.25,58.74,3,9.33,59.13
4,12.89,1:38.01,2,9.46,1:08.30,1,9.43,1:08.17,3,9.81,1:08.94
4,12.63,1:50.64,2,9.60,1:17.90,1,9.61,1:17.78,3,10.13,1:19.07
3,12.53,2:03.164,2,9.92,1:27.811,1,9.99,1:27.768,0,,PEN
