Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
2,7.16,7.16,1,7.02,7.02,3,7.32,7.32,4,7.63,7.63
1,9.46,16.62,2,9.69,16.71,3,9.43,16.75,4,9.37,17.00
3,9.40,26.02,1,9.15,25.86,2,9.18,25.93,4,9.11,26.11
4,9.45,35.47,1,9.22,35.08,2,9.32,35.25,3,9.22,35.33
4,10.14,45.602,2,9.50,44.573,1,9.32,44.567,3,9.37,44.697
