Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME
1,13.03,13.03,3,13.12,13.12,4,13.24,13.24,2,13.09,13.09,5,13.45,13.45
3,9.91,22.94,2,9.71,22.83,5,9.77,23.01,1,9.60,22.69,4,9.53,22.98
1,9.53,32.47,3,9.79,32.62,5,9.82,32.83,2,9.79,32.48,4,9.72,32.70
1,9.56,42.03,3,9.58,42.20,5,9.56,42.39,2,9.63,42.11,4,9.59,42.29
1,9.81,51.84,3,9.81,52.01,5,9.84,52.23,2,9.82,51.93,4,9.83,52.12
1,9.76,1:01.60,3,9.80,1:01.81,5,9.79,1:02.02,2,9.75,1:01.68,4,9.80,1:01.92
1,9.78,1:11.38,3,9.87,1:11.68,5,9.72,1:11.74,2,9.79,1:11.47,4,9.78,1:11.70
1,9.84,1:21.22,5,10.25,1:21.93,4,9.80,1:21.54,2,9.85,1:21.32,3,9.69,1:21.39
1,,1:31.087,5,10.62,1:32.530,4,9.72,1:31.247,3,,1:31.139,2,9.73,1:31.114
