J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,12.84,12.84,1,12.65,12.65,4,13.16,13.16,3,12.94,12.94
3,9.83,22.67,1,9.85,22.50,4,9.67,22.83,2,9.67,22.61
3,9.76,32.44,1,9.69,32.20,4,9.80,32.63,2,9.73,32.34
3,9.37,41.82,1,9.37,41.57,4,9.36,41.99,2,9.31,41.65
3,9.58,51.40,1,9.64,51.21,4,9.48,51.47,2,9.67,51.33
3,9.24,1:00.64,1,9.27,1:00.49,4,9.24,1:00.72,2,9.26,1:00.60
3,9.46,1:10.11,2,9.60,1:10.09,4,9.50,1:10.22,1,9.35,1:09.95
1,9.04,1:19.15,4,9.80,1:19.89,3,9.27,1:19.50,2,9.40,1:19.35
1,9.46,1:28.602,4,10.58,1:30.461,3,9.55,1:29.050,2,9.58,1:28.927
