Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME
4,10.590,10.590,1,10.030,10.030,6,11.150,11.150,2,10.070,10.070,3,10.430,10.430,5,10.700,10.700
4,13.390,23.990,1,13.640,23.670,6,13.340,24.490,2,13.740,23.810,3,13.540,23.970,5,13.420,24.120
4,12.520,36.510,1,12.460,36.140,6,12.600,37.100,2,12.490,36.310,3,12.490,36.470,5,12.680,36.800
4,11.900,48.410,1,11.910,48.050,6,11.770,48.870,2,11.950,48.260,3,11.870,48.340,5,11.840,48.650
1,10.760,59.170,2,11.280,59.330,6,11.110,59.980,3,11.120,59.380,4,11.160,59.510,5,11.060,59.710
1,10.660,1:09.840,2,10.640,1:09.980,6,10.790,1:10.770,3,10.730,1:10.110,4,10.760,1:10.280,5,10.690,1:10.410
2,10.500,1:20.350,1,10.110,1:20.090,6,10.160,1:20.940,3,10.260,1:20.380,4,10.280,1:20.560,5,10.220,1:20.630
1,10.140,1:30.490,2,10.400,1:30.490,6,10.350,1:31.290,3,10.130,1:30.520,4,10.300,1:30.860,5,10.390,1:31.030
1,9.680,1:40.170,3,9.740,1:40.240,6,9.900,1:41.190,2,9.670,1:40.190,4,9.400,1:40.260,5,9.590,1:40.620
1,9.580,1:49.760,3,9.570,1:49.820,6,9.860,1:51.060,2,9.590,1:49.780,5,9.860,1:50.130,4,9.320,1:49.950
3,9.780,1:59.540,2,9.480,1:59.300,6,10.050,2:01.110,5,10.750,2:00.540,4,9.450,1:59.590,1,9.180,1:59.130
4,9.840,2:09.390,2,9.230,2:08.540,6,10.250,2:11.370,5,10.270,2:10.810,3,9.680,2:09.280,1,9.350,2:08.480
4,10.080,2:19.470,2,9.630,2:18.170,6,10.750,2:22.130,5,10.420,2:21.230,3,9.680,2:18.960,1,9.440,2:17.930
4,10.600,2:30.080,2,9.910,2:28.080,6,11.310,2:33.440,5,11.040,2:32.270,3,10.260,2:29.230,1,9.790,2:27.720
