Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,12.47,12.47,2,12.53,12.53,4,12.76,12.76,3,12.62,12.62
3,9.80,22.27,1,9.50,22.03,4,9.64,22.41,2,9.60,22.23
2,9.25,31.52,1,9.37,31.41,4,9.30,31.72,3,9.36,31.59
2,9.25,40.78,1,9.34,40.75,4,9.37,41.09,3,9.29,40.88
1,9.22,50.00,3,9.42,50.18,4,9.40,50.49,2,9.27,50.16
1,9.42,59.43,3,9.30,59.48,4,9.27,59.77,2,9.32,59.48
2,9.36,1:08.79,1,9.28,1:08.77,4,9.57,1:09.35,3,9.42,1:08.90
1,9.39,1:18.19,2,9.42,1:18.19,4,9.58,1:18.93,3,9.32,1:18.22
1,9.51,1:27.696,3,9.74,1:27.924,4,10.03,1:28.952,2,9.55,1:27.768
