Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
2,13.22,13.22,1,13.12,13.12,4,13.33,13.33,5,13.50,13.50,3,13.25,13.25
3,10.18,23.40,2,10.17,23.29,4,10.18,23.51,5,10.13,23.63,1,9.91,23.16
4,10.54,33.94,3,10.45,33.74,1,10.07,33.58,5,10.38,34.01,2,10.46,33.62
4,9.75,43.69,3,9.85,43.59,1,9.71,43.29,5,9.79,43.80,2,9.87,43.49
4,9.94,53.63,2,9.92,53.51,1,10.14,53.43,5,9.94,53.74,3,10.04,53.53
2,10.23,1:03.86,1,9.88,1:03.39,4,10.97,1:04.40,3,10.21,1:03.95,5,19.94,1:13.47
2,10.17,1:14.03,1,10.03,1:13.42,4,10.98,1:15.38,3,10.15,1:14.10,5,22.36,1:35.83
2,10.33,1:24.36,1,10.27,1:23.69,4,11.57,1:26.95,3,10.41,1:24.51,5,15.25,1:51.08
2,10.57,1:34.924,1,10.45,1:34.133,4,13.27,1:40.215,3,10.89,1:35.400,0,,PEN
