Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
1,9.03,9.03,2,9.16,9.16,3,9.31,9.31,5,9.63,9.63,4,9.40,9.40
1,13.60,22.63,2,13.60,22.76,3,13.54,22.85,4,13.33,22.96,5,13.63,23.03
1,13.10,35.73,2,13.06,35.82,3,13.08,35.93,4,13.03,35.99,5,12.98,36.01
1,13.06,48.79,2,13.09,48.91,3,13.07,49.00,4,13.07,49.06,5,13.09,49.10
1,13.02,1:01.81,2,13.03,1:01.94,3,13.05,1:02.05,5,13.10,1:02.16,4,12.98,1:02.08
3,11.94,1:13.75,2,11.75,1:13.69,5,12.12,1:14.17,4,11.80,1:13.96,1,11.53,1:13.61
2,10.60,1:24.35,1,10.60,1:24.29,5,10.37,1:24.54,4,10.58,1:24.54,3,10.74,1:24.35
3,10.83,1:35.18,1,10.65,1:34.94,4,10.75,1:35.29,5,10.88,1:35.42,2,10.71,1:35.06
3,10.29,1:45.47,1,10.42,1:45.36,4,10.39,1:45.68,5,10.29,1:45.71,2,10.31,1:45.37
1,9.76,1:55.23,3,10.18,1:55.54,4,9.98,1:55.66,5,10.18,1:55.89,2,10.03,1:55.40
1,9.69,2:04.92,3,9.70,2:05.24,4,9.72,2:05.38,5,9.95,2:05.84,2,9.82,2:05.22
1,9.72,2:14.64,2,9.69,2:14.93,3,9.79,2:15.17,5,10.29,2:16.13,4,10.04,2:15.26
1,9.70,2:24.34,2,9.69,2:24.62,3,9.93,2:25.10,5,10.70,2:26.83,4,10.36,2:25.62
1,9.80,2:34.131,2,10.15,2:34.763,3,10.38,2:35.473,5,11.18,2:38.010,4,10.53,2:36.148
