PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
1,13.67,13.67,3,13.88,13.88,4,13.99,13.99,2,13.79,13.79,5,14.15,14.15
1,11.18,24.85,3,11.14,25.02,4,11.11,25.10,2,11.14,24.93,5,11.04,25.19
1,10.31,35.16,4,10.36,35.38,2,10.11,35.21,3,10.36,35.29,5,10.30,35.49
1,9.80,44.96,4,9.76,45.14,2,9.85,45.06,3,9.83,45.12,5,9.75,45.24
1,9.68,54.64,4,9.78,54.92,2,9.66,54.72,3,9.73,54.85,5,9.81,55.05
1,9.58,1:04.22,3,9.47,1:04.39,2,9.59,1:04.31,4,9.54,1:04.39,5,9.82,1:04.87
1,9.33,1:13.55,3,9.39,1:13.78,2,9.35,1:13.66,5,16.82,1:21.21,4,9.88,1:14.75
1,9.30,1:22.85,3,9.43,1:23.21,2,9.35,1:23.01,5,17.03,1:38.24,4,10.44,1:25.19
1,9.56,1:32.406,2,9.64,1:32.842,0,,PEN,4,14.13,1:52.367,3,10.44,1:35.624
