Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
2,7.05,7.05,1,6.85,6.85,4,7.38,7.38,3,7.29,7.29,5,7.52,7.52
2,9.33,16.38,1,9.09,15.94,4,9.24,16.62,3,9.32,16.61,5,9.23,16.75
2,8.88,25.26,1,8.63,24.57,3,8.65,25.27,4,8.88,25.49,5,8.75,25.50
3,8.96,34.22,1,8.69,33.26,2,8.86,34.13,4,8.97,34.46,5,9.17,34.67
4,9.45,43.67,1,9.04,42.311,2,8.91,43.035,3,9.02,43.531,5,9.32,44.076
