KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,16.43,16.43,3,16.67,16.67,4,16.74,16.74,2,16.58,16.58
2,13.62,30.05,4,13.63,30.30,1,13.19,29.93,3,13.60,30.18
2,12.41,42.46,4,12.34,42.64,1,12.42,42.35,3,12.41,42.59
1,10.65,53.11,4,10.70,53.34,2,10.87,53.22,3,10.71,53.30
1,10.10,1:03.21,4,10.16,1:03.50,2,10.12,1:03.34,3,10.12,1:03.42
1,9.96,1:13.17,4,9.98,1:13.48,2,9.95,1:13.29,3,9.95,1:13.37
1,9.88,1:23.05,4,9.99,1:23.47,3,10.08,1:23.37,2,9.80,1:23.17
1,10.02,1:33.07,4,10.16,1:33.63,3,10.14,1:33.51,2,9.94,1:33.11
2,10.13,1:43.195,4,10.28,1:43.901,3,10.35,1:43.854,1,9.81,1:42.918
