BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,Holly HOYLAND POSITION,Holly HOYLAND LAP TIME,Holly HOYLAND ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Marketa FAJKUSOVA POSITION,Marketa FAJKUSOVA LAP TIME,Marketa FAJKUSOVA ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME
1,14.47,14.47,4,14.67,14.67,2,14.48,14.48,6,14.79,14.79,3,14.58,14.58,5,14.75,14.75
1,10.81,25.28,4,10.85,25.52,2,10.87,25.35,6,10.84,25.63,3,10.87,25.45,5,10.83,25.58
2,10.69,35.97,4,10.66,36.18,3,10.73,36.08,5,10.75,36.38,1,10.31,35.76,6,10.91,36.49
2,10.17,46.14,4,10.09,46.27,3,10.13,46.21,5,10.01,46.39,1,10.21,45.97,6,10.03,46.52
3,10.19,56.33,4,10.09,56.36,1,9.92,56.13,5,10.14,56.53,2,10.20,56.17,6,10.27,56.79
3,9.84,1:06.17,4,10.13,1:06.49,1,9.90,1:06.03,5,10.07,1:06.60,2,9.97,1:06.14,6,10.23,1:07.02
1,9.69,1:15.86,4,9.99,1:16.48,2,9.88,1:15.91,5,9.99,1:16.59,3,9.87,1:16.01,6,10.51,1:17.53
1,9.54,1:25.40,4,10.18,1:26.66,2,9.94,1:25.85,5,10.19,1:26.78,3,9.95,1:25.96,6,10.94,1:28.47
1,9.90,1:35.300,4,10.36,1:37.024,2,10.05,1:35.909,5,10.29,1:37.074,3,9.99,1:35.953,6,11.58,1:40.054
