KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
2,13.37,13.37,3,13.49,13.49,1,13.35,13.35,4,13.58,13.58
1,10.32,23.69,2,10.29,23.78,3,10.62,23.97,4,10.44,24.02
2,10.36,34.05,1,10.15,33.93,3,10.22,34.19,4,10.25,34.27
2,9.96,44.01,1,9.95,43.88,4,10.00,44.19,3,9.88,44.15
3,9.82,53.83,1,9.72,53.60,4,9.94,54.13,2,9.52,53.67
3,9.66,1:03.49,1,9.67,1:03.27,4,9.52,1:03.65,2,9.67,1:03.34
3,9.55,1:13.04,2,9.57,1:12.84,4,9.53,1:13.18,1,9.47,1:12.81
1,9.42,1:22.46,4,31.03,1:43.87,2,9.49,1:22.67,3,18.49,1:31.30
1,9.61,1:32.069,0,,notime,2,9.75,1:32.411,0,,PEN
