Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
5,8.86,8.86,1,8.32,8.32,3,8.59,8.59,2,8.45,8.45,4,8.71,8.71,6,9.04,9.04
5,12.41,21.27,1,12.44,20.76,3,12.43,21.02,2,12.44,20.89,4,12.41,21.12,6,12.40,21.44
5,11.87,33.14,1,11.84,32.60,3,11.85,32.87,2,11.90,32.79,4,11.86,32.98,6,11.79,33.23
5,11.56,44.70,2,11.73,44.33,3,11.58,44.45,1,11.41,44.20,4,11.57,44.55,6,11.58,44.81
5,11.77,56.47,2,11.72,56.05,3,11.75,56.20,1,11.74,55.94,4,11.80,56.35,6,11.81,56.62
5,11.11,1:07.58,1,11.16,1:07.21,3,11.09,1:07.29,2,11.32,1:07.26,4,11.06,1:07.41,6,11.08,1:07.70
5,9.51,1:17.09,2,9.62,1:16.83,1,9.46,1:16.75,4,9.74,1:17.00,3,9.50,1:16.91,6,9.50,1:17.20
5,9.66,1:26.75,1,9.54,1:26.37,2,9.70,1:26.45,4,9.64,1:26.64,3,9.57,1:26.48,6,9.66,1:26.86
5,9.79,1:36.54,1,9.72,1:36.09,2,9.76,1:36.21,4,9.80,1:36.44,3,9.84,1:36.32,6,9.77,1:36.63
5,9.55,1:46.09,1,9.65,1:45.74,2,9.62,1:45.83,4,9.58,1:46.02,3,9.60,1:45.92,6,9.57,1:46.20
5,9.54,1:55.63,1,9.55,1:55.29,2,9.54,1:55.37,4,9.53,1:55.55,3,9.53,1:55.45,6,9.56,1:55.76
5,9.19,2:04.82,1,9.26,2:04.55,2,9.32,2:04.69,4,9.24,2:04.79,3,9.33,2:04.78,6,9.20,2:04.96
5,9.39,2:14.21,1,9.42,2:13.97,3,9.39,2:14.08,4,9.42,2:14.21,6,9.89,2:14.67,2,9.11,2:14.07
2,9.43,2:23.639,3,9.87,2:23.840,6,10.77,2:24.847,4,9.82,2:24.026,5,9.87,2:24.533,1,9.18,2:23.244
