TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
2,12.37,12.37,1,12.25,12.25,3,12.51,12.51,4,12.62,12.62
2,9.23,21.60,1,9.04,21.29,3,9.26,21.77,4,9.31,21.93
2,8.78,30.38,1,8.74,30.03,3,8.94,30.71,4,8.88,30.81
2,8.85,39.23,1,8.85,38.88,3,8.80,39.51,4,8.85,39.66
2,8.94,48.17,1,9.08,47.96,3,8.77,48.28,4,8.81,48.47
2,8.90,57.07,1,8.98,56.94,3,8.89,57.17,4,8.80,57.27
2,9.11,1:06.18,1,9.14,1:06.08,3,9.09,1:06.26,4,9.08,1:06.35
4,9.18,1:15.36,1,8.87,1:14.95,2,8.94,1:15.20,3,8.99,1:15.34
4,9.08,1:24.44,1,8.94,1:23.89,2,8.85,1:24.05,3,8.83,1:24.17
4,9.06,1:33.50,1,8.79,1:32.68,2,8.78,1:32.83,3,8.83,1:33.00
4,9.29,1:42.79,2,9.08,1:41.76,1,8.76,1:41.59,3,8.79,1:41.79
4,9.14,1:51.93,3,9.07,1:50.83,1,9.06,1:50.65,2,8.93,1:50.72
4,9.09,2:01.02,3,9.04,1:59.87,1,9.02,1:59.67,2,9.04,1:59.76
4,9.03,2:10.05,2,8.86,2:08.73,1,8.99,2:08.66,3,9.02,2:08.78
4,8.82,2:18.87,2,9.19,2:17.92,1,9.19,2:17.85,3,9.23,2:18.01
4,9.32,2:28.19,1,8.94,2:26.86,2,9.06,2:26.91,3,9.02,2:27.03
4,9.17,2:37.36,1,8.88,2:35.74,2,8.94,2:35.85,3,8.91,2:35.94
4,9.13,2:46.49,1,8.90,2:44.64,2,8.87,2:44.72,3,8.88,2:44.82
4,9.04,2:55.53,1,8.89,2:53.53,2,8.89,2:53.61,3,8.88,2:53.70
4,9.09,3:04.62,1,8.67,3:02.20,2,8.75,3:02.36,3,8.73,3:02.43
4,8.81,3:13.43,1,8.74,3:10.94,2,8.72,3:11.08,3,8.74,3:11.17
4,9.31,3:22.74,1,8.76,3:19.70,3,8.79,3:19.87,2,8.68,3:19.85
4,9.34,3:32.08,1,8.82,3:28.52,3,8.84,3:28.71,2,8.73,3:28.58
4,9.33,3:41.41,2,8.79,3:37.31,3,8.72,3:37.43,1,8.69,3:37.27
4,9.20,3:50.61,2,8.75,3:46.06,3,8.72,3:46.15,1,8.70,3:45.97
4,9.26,3:59.87,2,8.74,3:54.80,3,8.72,3:54.87,1,8.64,3:54.61
4,9.13,4:09.00,3,8.89,4:03.69,2,8.66,4:03.53,1,8.71,4:03.32
4,9.37,4:18.37,3,8.73,4:12.42,2,8.79,4:12.32,1,8.90,4:12.22
4,9.43,4:27.80,3,8.94,4:21.36,2,8.94,4:21.26,1,8.90,4:21.12
4,9.33,4:37.13,3,9.09,4:30.45,2,9.09,4:30.35,1,9.14,4:30.26
4,9.31,4:46.44,3,8.88,4:39.33,2,8.91,4:39.26,1,8.89,4:39.15
4,9.19,4:55.63,3,8.86,4:48.19,2,8.82,4:48.08,1,8.82,4:47.97
4,9.04,5:04.67,3,8.63,4:56.82,2,8.65,4:56.73,1,8.70,4:56.67
4,9.59,5:14.26,3,8.89,5:05.71,2,8.90,5:05.63,1,8.81,5:05.48
4,9.92,5:24.18,3,8.87,5:14.58,2,8.79,5:14.42,1,8.91,5:14.39
4,9.47,5:33.65,3,8.81,5:23.39,1,8.54,5:22.96,2,8.82,5:23.21
4,9.21,5:42.86,3,8.65,5:32.04,1,8.50,5:31.46,2,8.48,5:31.69
4,9.44,5:52.30,3,8.49,5:40.53,1,8.62,5:40.08,2,8.58,5:40.27
4,9.17,6:01.47,3,8.42,5:48.95,1,8.76,5:48.84,1,8.57,5:48.84
4,9.40,6:10.87,3,8.83,5:57.78,2,8.85,5:57.69,1,8.83,5:57.67
4,9.60,6:20.47,3,8.83,6:06.61,2,8.71,6:06.40,1,8.56,6:06.23
4,9.58,6:30.05,3,8.74,6:15.35,2,8.54,6:14.94,1,8.67,6:14.90
4,9.25,6:39.30,3,8.64,6:23.99,2,8.63,6:23.57,1,8.51,6:23.41
4,9.36,6:48.66,2,8.48,6:32.47,3,11.25,6:34.82,1,8.43,6:31.84
4,9.27,6:57.920,2,8.80,6:41.263,3,12.21,6:47.004,1,8.98,6:40.805
