Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME
1,13.570,13.570,3,13.840,13.840,2,13.710,13.710,4,13.900,13.900
2,10.850,24.430,1,10.380,24.230,3,10.950,24.660,4,10.770,24.680
3,10.280,34.710,1,10.410,34.640,4,10.500,35.170,2,9.980,34.660
1,9.990,44.700,3,10.330,44.970,2,9.700,44.870,4,10.460,45.120
1,10.060,54.770,3,10.080,55.060,4,10.240,55.120,2,9.890,55.020
1,9.630,1:04.400,2,9.460,1:04.520,4,9.820,1:04.940,3,9.630,1:04.650
1,9.470,1:13.870,4,9.670,1:14.190,3,9.190,1:14.140,2,9.400,1:14.060
1,9.270,1:23.140,4,9.430,1:23.630,3,9.160,1:23.310,2,9.090,1:23.150
1,9.080,1:32.220,2,9.040,1:32.670,3,9.640,1:32.950,4,12.400,1:35.550
