KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,Jamie JURAK POSITION,Jamie JURAK LAP TIME,Jamie JURAK ELAPSED TIME,Marta KNOCH POSITION,Marta KNOCH LAP TIME,Marta KNOCH ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME
1,14.31,14.31,4,14.78,14.78,3,14.62,14.62,2,14.52,14.52
1,11.33,25.64,4,11.14,25.92,2,11.11,25.73,3,11.27,25.79
1,10.71,36.35,4,10.87,36.79,2,10.72,36.45,3,10.76,36.55
1,10.29,46.64,4,10.26,47.05,2,10.30,46.75,3,10.24,46.79
2,9.62,56.26,4,10.16,57.21,3,9.60,56.35,1,9.30,56.09
2,9.38,1:05.64,4,10.23,1:07.44,3,9.42,1:05.77,1,9.44,1:05.53
2,9.45,1:15.09,4,10.41,1:17.85,3,9.45,1:15.22,1,9.46,1:14.99
2,9.54,1:24.63,4,10.64,1:28.49,3,9.70,1:24.92,1,9.50,1:24.49
2,9.71,1:34.34,4,10.77,1:39.26,3,10.25,1:35.17,1,9.58,1:34.07
