Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
3,13.80,13.80,1,13.55,13.55,4,14.01,14.01,2,13.65,13.65
3,10.31,24.11,1,10.36,23.91,4,10.28,24.29,2,10.34,23.99
3,10.10,34.21,1,10.06,33.97,4,10.09,34.38,2,10.07,34.06
3,9.99,44.20,2,10.08,44.05,4,9.96,44.34,1,9.97,44.03
4,9.94,54.14,2,9.84,53.89,3,9.66,54.00,1,9.75,53.78
4,9.87,1:04.01,2,9.84,1:03.73,3,9.88,1:03.88,1,9.86,1:03.64
3,9.81,1:13.82,4,10.44,1:14.17,2,9.68,1:13.56,1,9.76,1:13.40
3,10.19,1:24.01,4,10.57,1:24.74,2,9.91,1:23.47,1,10.06,1:23.46
3,10.72,1:34.727,0,,PEN,1,10.05,1:33.518,2,10.33,1:33.783
