KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME
1,13.60,13.60,4,13.79,13.79,2,13.66,13.66,5,13.88,13.88,3,13.76,13.76
1,10.33,23.93,4,10.45,24.24,2,10.29,23.95,5,10.43,24.31,3,10.35,24.11
2,10.35,34.28,5,10.27,34.51,1,10.23,34.18,4,10.16,34.47,3,10.29,34.40
2,10.04,44.32,4,10.00,44.51,1,10.05,44.23,3,9.92,44.39,5,10.22,44.62
3,10.25,54.57,4,10.07,54.58,1,10.11,54.34,2,10.09,54.48,5,10.14,54.76
4,10.34,1:04.91,3,10.27,1:04.85,1,10.34,1:04.68,2,10.28,1:04.76,5,10.32,1:05.08
4,10.17,1:15.08,3,10.15,1:15.00,1,10.13,1:14.81,2,10.18,1:14.94,5,10.41,1:15.49
4,10.32,1:25.40,2,10.19,1:25.19,1,10.29,1:25.10,3,10.45,1:25.39,5,10.72,1:26.21
3,10.11,1:35.51,0,,PHOTO,0,,PHOTO,4,10.55,1:35.912,5,11.11,1:37.306
