Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
4,8.75,8.75,1,8.56,8.56,2,8.65,8.65,5,8.91,8.91,6,9.04,9.04,3,8.68,,7,9.28,9.28
5,11.49,20.24,1,11.20,19.76,2,11.20,19.85,4,11.19,20.10,6,11.35,20.39,3,11.31,,7,11.24,20.52
5,10.35,30.59,1,10.53,30.29,2,10.53,30.38,6,10.59,30.69,7,10.49,30.88,4,10.51,,3,9.89,30.41
3,9.64,40.23,4,10.03,40.32,2,9.78,40.16,7,9.90,40.59,6,9.67,40.55,5,9.92,,1,9.69,40.10
4,10.49,50.72,3,10.34,50.66,2,10.46,50.62,5,10.23,50.82,7,10.46,51.01,6,10.43,,1,10.42,50.52
5,20.36,1:11.08,1,9.75,1:00.41,2,9.83,1:00.45,7,22.96,1:13.78,4,9.76,1:00.77,6,20.54,,3,9.97,1:00.49
5,10.71,1:21.79,2,9.60,1:10.01,1,9.40,1:09.85,7,12.39,1:26.17,4,9.49,1:10.26,6,10.65,,3,9.64,1:10.13
5,10.36,1:32.15,2,9.78,1:19.79,1,9.84,1:19.69,7,13.47,1:39.64,4,9.77,1:20.03,6,10.25,,3,9.77,1:19.90
5,10.31,1:42.46,3,9.93,1:29.72,1,9.92,1:29.61,7,12.69,1:52.33,4,9.88,1:29.91,6,10.28,,2,9.81,1:29.71
5,10.32,1:52.78,3,10.05,1:39.77,1,9.91,1:39.52,7,13.08,2:05.41,4,10.01,1:39.92,6,10.32,,2,9.93,1:39.64
5,10.37,2:03.15,3,9.68,1:49.45,1,9.74,1:49.26,7,14.42,2:19.83,4,9.66,1:49.58,6,10.33,,2,9.73,1:49.37
5,10.36,2:13.51,4,9.77,1:59.22,1,9.50,1:58.76,7,14.42,2:34.25,3,9.47,1:59.05,6,10.41,,2,9.41,1:58.78
6,10.37,2:23.88,4,9.37,2:08.59,1,9.13,2:07.89,7,17.81,2:52.06,3,9.50,2:08.55,5,10.23,,2,9.24,2:08.02
5,15.52,2:39.400,3,9.47,2:18.06,1,9.39,2:17.28,6,21.54,3:13.603,4,9.85,2:18.402,5,14.39,,2,9.37,2:17.39
