PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
2,7.345,7.345,3,7.601,7.601,1,7.187,7.187,4,7.676,7.676
2,9.547,16.892,3,9.514,17.114,1,9.489,16.675,4,9.483,17.159
3,9.382,26.274,2,9.154,26.268,1,9.036,25.711,4,9.165,26.323
3,9.533,35.806,2,9.064,35.332,1,9.314,35.024,4,9.613,35.936
4,10.804,46.610,2,9.464,44.796,1,9.460,44.484,3,9.778,45.715
