Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
4,13.33,13.33,2,13.21,13.21,3,13.31,13.31,1,13.19,13.19,5,13.57,13.57
4,10.43,23.76,3,10.45,23.66,2,10.27,23.58,1,10.30,23.49,5,10.35,23.92
2,9.79,33.55,1,9.82,33.48,4,10.18,33.76,3,10.14,33.63,5,9.92,33.84
1,9.20,42.75,2,9.36,42.84,4,9.32,43.08,3,9.31,42.94,5,9.36,43.20
1,9.39,52.14,3,9.55,52.39,4,9.38,52.46,2,9.30,52.24,5,9.41,52.61
1,9.24,1:01.38,3,9.25,1:01.64,4,9.31,1:01.77,2,9.27,1:01.51,5,9.26,1:01.87
1,9.22,1:10.60,3,9.16,1:10.80,4,9.13,1:10.90,2,9.12,1:10.63,5,9.13,1:11.00
5,10.26,1:20.86,2,9.22,1:20.02,3,9.26,1:20.16,1,8.98,1:19.61,4,9.31,1:20.31
5,11.39,1:32.25,2,9.44,1:29.46,3,9.34,1:29.50,1,9.29,1:28.90,4,9.28,1:29.59
