Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME
5,10.160,10.160,4,10.080,10.080,3,10.040,10.040,2,9.770,9.770,1,9.630,9.630
4,12.470,22.630,5,12.590,22.670,3,12.560,22.610,2,12.600,22.370,1,12.690,22.320
5,12.910,35.550,4,12.860,35.530,3,12.900,35.510,2,12.840,35.220,1,12.830,35.160
5,13.270,48.820,4,13.210,48.740,3,13.160,48.670,1,13.140,48.360,2,13.260,48.420
4,13.080,1:01.900,5,13.230,1:01.970,3,13.170,1:01.850,2,13.320,1:01.690,1,13.200,1:01.630
5,13.090,1:15.000,3,12.940,1:14.920,4,13.090,1:14.940,2,12.850,1:14.540,1,12.900,1:14.530
5,11.340,1:26.340,1,10.950,1:25.880,3,11.350,1:26.300,2,11.600,1:26.150,4,11.770,1:26.310
4,10.820,1:37.170,3,11.140,1:37.020,1,10.670,1:36.970,2,10.820,1:36.980,5,11.050,1:37.360
2,10.090,1:47.270,3,10.260,1:47.280,1,10.090,1:47.070,4,10.400,1:47.390,5,10.800,1:48.160
3,10.630,1:57.910,2,10.490,1:57.780,1,10.550,1:57.630,4,10.570,1:57.960,5,11.200,1:59.370
3,10.560,2:08.470,2,10.610,2:08.390,1,10.710,2:08.340,4,10.560,2:08.520,5,11.530,2:10.900
1,10.130,2:18.610,2,10.240,2:18.630,3,10.520,2:18.860,4,10.460,2:18.980,5,12.240,2:23.140
1,10.210,2:28.830,2,10.560,2:29.200,3,10.450,2:29.310,5,21.360,2:40.350,4,12.250,2:35.400
1,10.590,2:39.420,3,10.950,2:40.160,2,10.830,2:40.150,5,20.730,3:01.080,4,12.480,2:47.890
