KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
5,11.66,11.66,1,10.17,10.17,3,10.30,10.30,2,10.20,10.20,4,10.70,10.70,6,12.54,12.54
3,14.37,26.03,4,16.09,26.26,5,16.03,26.33,2,15.41,25.61,6,15.74,26.44,1,13.03,25.57
4,15.07,41.10,2,14.67,40.93,5,15.13,41.46,3,15.33,40.94,6,15.08,41.52,1,15.28,40.85
2,11.62,52.72,1,11.68,52.61,4,11.42,52.88,6,12.05,52.99,5,11.41,52.93,3,12.01,52.86
3,11.52,1:04.24,1,11.24,1:03.85,6,11.53,1:04.41,4,11.26,1:04.25,5,11.36,1:04.29,2,11.12,1:03.98
3,10.92,1:15.16,1,11.21,1:15.06,6,11.15,1:15.56,2,10.90,1:15.15,5,11.13,1:15.42,4,11.28,1:15.26
1,9.49,1:24.65,2,9.72,1:24.78,4,9.65,1:25.21,3,9.77,1:24.92,5,9.84,1:25.26,6,10.01,1:25.27
1,9.95,1:34.60,3,10.15,1:34.93,6,9.79,1:35.00,5,10.07,1:34.99,4,9.72,1:34.98,2,9.63,1:34.90
2,9.29,1:43.89,3,9.09,1:44.02,6,9.32,1:44.32,1,8.73,1:43.72,5,9.27,1:44.25,4,9.13,1:44.03
2,9.12,1:53.01,3,9.04,1:53.06,6,9.62,1:53.94,1,9.17,1:52.89,4,9.00,1:53.25,5,9.39,1:53.42
2,9.06,2:02.07,3,9.25,2:02.31,6,10.05,2:03.99,1,8.93,2:01.82,4,9.20,2:02.45,5,9.70,2:03.12
3,9.47,2:11.54,1,8.99,2:11.30,6,11.34,2:15.33,2,9.68,2:11.50,4,9.27,2:11.72,5,9.66,2:12.78
1,9.22,2:20.76,3,9.89,2:21.19,6,10.94,2:26.27,2,9.65,2:21.15,4,9.74,2:21.46,5,9.92,2:22.70
1,10.02,2:30.771,2,9.83,2:31.020,5,12.29,2:38.553,0,,PEN,3,9.88,2:31.335,4,10.50,2:33.196
