BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Alyona KIKOLENKO POSITION,Alyona KIKOLENKO LAP TIME,Alyona KIKOLENKO ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
3,17.11,17.11,5,17.34,17.34,4,17.23,17.23,6,17.49,17.49,2,17.09,17.09,1,16.99,16.99
3,11.46,28.57,5,11.47,28.81,4,11.45,28.68,6,11.50,28.99,1,11.20,28.29,2,11.39,28.38
3,10.90,39.47,5,10.88,39.69,4,10.90,39.58,6,10.83,39.82,2,11.08,39.37,1,10.92,39.30
2,11.29,50.76,4,11.22,50.91,5,11.34,50.92,6,11.29,51.11,3,11.43,50.80,1,11.32,50.62
2,10.19,1:00.95,4,10.24,1:01.15,3,10.12,1:01.04,6,10.43,1:01.54,5,10.54,1:01.34,1,10.23,1:00.85
2,9.84,1:10.79,4,9.90,1:11.05,3,9.89,1:10.93,6,10.37,1:11.91,5,10.28,1:11.62,1,9.85,1:10.70
2,9.85,1:20.64,4,9.85,1:20.90,3,9.86,1:20.79,6,10.67,1:22.58,5,10.48,1:22.10,1,9.91,1:20.61
1,9.72,1:30.36,4,9.89,1:30.79,3,9.93,1:30.72,6,11.36,1:33.94,5,10.82,1:32.92,2,10.05,1:30.66
1,9.83,1:40.19,4,10.19,1:40.98,2,9.98,1:40.70,6,11.97,1:45.91,5,11.28,1:44.20,3,10.21,1:40.87
