Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
4,16.46,16.46,1,15.98,15.98,3,16.35,16.35,2,16.16,16.16
4,12.18,28.64,1,12.27,28.25,3,12.18,28.53,2,12.21,28.37
4,11.35,39.99,1,11.31,39.56,3,11.36,39.89,2,11.33,39.70
4,10.43,50.42,2,10.60,50.16,3,10.33,50.22,1,10.42,50.12
3,9.61,1:00.03,4,10.28,1:00.44,2,9.53,59.75,1,9.51,59.63
3,9.83,1:09.86,4,10.40,1:10.84,2,9.57,1:09.32,1,9.60,1:09.23
3,9.95,1:19.81,4,10.61,1:21.45,2,9.57,1:18.89,1,9.57,1:18.80
3,10.18,1:29.99,4,10.88,1:32.33,2,9.50,1:28.39,1,9.50,1:28.30
3,10.65,1:40.637,4,11.31,1:43.634,2,9.65,1:38.035,1,9.54,1:37.839
