Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,LEE Mi-Yeon POSITION,LEE Mi-Yeon LAP TIME,LEE Mi-Yeon ELAPSED TIME,LI Dan POSITION,LI Dan LAP TIME,LI Dan ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
4,11.08,11.08,6,11.41,11.41,1,10.71,10.71,5,11.32,11.32,3,10.97,10.97,2,10.84,10.84
2,14.88,25.96,5,14.68,26.09,1,15.18,25.89,6,14.92,26.24,4,15.11,26.08,3,15.13,25.97
2,12.97,38.93,6,13.31,39.40,4,13.46,39.35,1,12.58,38.82,3,13.07,39.15,5,13.42,39.39
3,12.11,51.04,5,12.10,51.50,6,12.17,51.52,1,12.16,50.98,4,12.03,51.18,2,11.62,51.01
3,12.01,1:03.05,4,11.64,1:03.14,5,11.77,1:03.29,2,11.95,1:02.93,6,12.11,1:03.29,1,11.90,1:02.91
4,12.11,1:15.16,5,12.20,1:15.34,6,12.34,1:15.63,1,12.04,1:14.97,3,11.80,1:15.09,2,12.16,1:15.07
4,10.92,1:26.08,5,10.82,1:26.16,6,10.72,1:26.35,1,10.73,1:25.70,2,10.63,1:25.72,3,10.86,1:25.93
2,10.19,1:36.27,4,10.30,1:36.46,6,10.25,1:36.60,1,10.56,1:36.26,5,10.77,1:36.49,3,10.38,1:36.31
2,10.37,1:46.64,5,10.51,1:46.97,6,10.51,1:47.11,1,10.33,1:46.59,3,10.21,1:46.70,4,10.44,1:46.75
2,10.29,1:56.93,5,10.30,1:57.27,6,10.20,1:57.31,1,10.10,1:56.69,3,10.24,1:56.94,4,10.27,1:57.02
3,10.18,2:07.11,6,10.55,2:07.82,4,10.05,2:07.36,1,10.16,2:06.85,2,10.16,2:07.10,5,10.46,2:07.48
3,10.40,2:17.51,6,10.57,2:18.39,4,10.37,2:17.73,1,10.32,2:17.17,2,10.37,2:17.47,5,10.46,2:17.94
2,10.42,2:27.93,6,11.20,2:29.59,4,10.61,2:28.34,1,10.49,2:27.66,3,10.49,2:27.96,5,10.50,2:28.44
3,10.64,2:38.568,6,11.48,2:41.069,4,10.86,2:39.200,1,10.78,2:38.432,2,10.60,2:38.560,5,11.13,2:39.569
