Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME
5,9.74,9.74,6,9.84,9.84,3,9.57,9.57,2,9.45,9.45,1,9.34,9.34,4,9.68,9.68
3,13.31,23.05,6,13.53,23.37,4,13.50,23.07,2,13.50,22.95,1,13.51,22.85,5,13.55,23.23
1,12.39,35.44,6,12.74,36.11,4,12.72,35.79,3,12.70,35.65,2,12.74,35.59,5,12.71,35.94
1,12.11,47.55,6,11.95,48.06,4,12.08,47.87,3,12.11,47.76,2,12.09,47.68,5,12.03,47.97
1,11.87,59.42,6,11.82,59.88,4,11.86,59.73,3,11.85,59.61,2,11.86,59.54,5,11.83,59.80
2,11.58,1:11.00,6,11.59,1:11.47,4,11.49,1:11.22,3,11.45,1:11.06,1,11.43,1:10.97,5,11.54,1:11.34
6,19.20,1:30.20,4,10.48,1:21.95,3,10.47,1:21.69,1,10.27,1:21.33,2,10.49,1:21.46,5,10.96,1:22.30
6,12.83,1:43.03,4,10.24,1:32.19,3,10.42,1:32.11,1,10.57,1:31.90,2,10.52,1:31.98,5,9.99,1:32.29
6,9.99,1:53.02,4,10.52,1:42.71,3,10.50,1:42.61,1,10.52,1:42.42,2,10.54,1:42.52,5,10.53,1:42.82
6,9.56,2:02.58,4,9.95,1:52.66,3,10.05,1:52.66,1,10.04,1:52.46,2,10.01,1:52.53,5,10.07,1:52.89
6,9.80,2:12.38,3,9.52,2:02.18,4,9.68,2:02.34,1,9.50,2:01.96,2,9.56,2:02.09,5,9.58,2:02.47
6,10.21,2:22.59,3,9.28,2:11.46,4,9.32,2:11.66,1,9.32,2:11.28,2,9.30,2:11.39,5,9.80,2:12.27
6,10.22,2:32.81,3,8.98,2:20.44,4,9.37,2:21.03,1,9.08,2:20.36,2,9.02,2:20.41,5,10.18,2:22.45
5,11.10,2:43.906,1,8.92,2:29.354,0,,PEN,2,9.25,2:29.610,3,9.34,2:29.741,4,10.70,2:33.147
