Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
2,12.79,12.79,1,12.66,12.66,3,12.90,12.90,4,13.02,13.02
2,9.93,22.72,1,9.96,22.62,3,9.94,22.84,4,9.92,22.94
2,9.95,32.67,1,9.95,32.57,3,9.94,32.78,4,9.93,32.87
2,9.37,42.04,1,9.36,41.93,3,9.36,42.14,4,9.38,42.25
2,9.15,51.19,1,9.15,51.08,3,9.13,51.27,4,9.15,51.40
2,9.09,1:00.28,1,9.16,1:00.24,3,9.12,1:00.39,4,9.14,1:00.54
1,8.64,1:08.92,2,8.82,1:09.06,3,8.78,1:09.17,4,8.78,1:09.32
1,8.92,1:17.84,2,8.88,1:17.94,3,8.96,1:18.13,4,8.95,1:18.27
1,8.80,1:26.639,2,8.83,1:26.765,3,8.89,1:27.018,4,8.94,1:27.210
