ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME
5,10.62,10.62,6,10.74,10.74,4,10.46,10.46,1,9.97,9.97,2,10.11,10.11,3,10.23,10.23
5,13.61,24.23,6,13.62,24.36,4,13.62,24.08,1,13.58,23.55,2,13.64,23.75,3,13.66,23.89
5,11.95,36.18,6,11.92,36.28,4,11.99,36.07,1,12.15,35.70,2,12.09,35.84,3,12.07,35.96
5,11.64,47.82,6,11.67,47.95,4,11.64,47.71,1,11.64,47.34,2,11.63,47.47,3,11.62,47.58
4,11.29,59.11,6,11.37,59.32,5,11.45,59.16,1,11.52,58.86,2,11.49,58.96,3,11.50,59.08
2,9.83,1:08.94,6,10.05,1:09.37,5,10.12,1:09.28,1,10.03,1:08.89,3,10.12,1:09.08,4,10.09,1:09.17
2,9.84,1:18.78,6,9.81,1:19.18,4,9.71,1:18.99,1,9.82,1:18.71,3,9.81,1:18.89,5,9.90,1:19.07
1,9.69,1:28.47,6,9.70,1:28.88,5,9.83,1:28.82,2,9.80,1:28.51,3,9.75,1:28.64,4,9.66,1:28.73
1,9.51,1:37.98,5,9.44,1:38.32,6,9.62,1:38.44,2,9.52,1:38.03,3,9.50,1:38.14,4,9.48,1:38.21
1,9.70,1:47.68,5,9.72,1:48.04,6,9.68,1:48.12,2,9.77,1:47.80,3,9.73,1:47.87,4,9.75,1:47.96
2,9.76,1:57.44,5,9.69,1:57.73,6,9.74,1:57.86,1,9.54,1:57.34,3,9.61,1:57.48,4,9.62,1:57.58
3,9.49,2:06.93,5,9.36,2:07.09,6,9.43,2:07.29,1,9.41,2:06.75,4,9.48,2:06.96,2,9.27,2:06.85
3,9.28,2:16.21,5,9.38,2:16.47,6,9.71,2:17.00,2,9.37,2:16.12,4,9.30,2:16.26,1,9.22,2:16.07
5,11.21,2:27.42,3,9.78,2:26.25,6,10.73,2:27.73,2,9.52,2:25.64,4,10.24,2:26.50,1,9.49,2:25.56
