CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME
1,13.21,13.21,3,13.30,13.30,4,13.41,13.41,5,13.55,13.55,2,13.27,13.27
2,10.28,23.49,3,10.39,23.69,4,10.39,23.80,5,10.44,23.99,1,10.10,23.37
2,9.89,33.38,3,9.80,33.49,4,9.82,33.62,5,9.79,33.78,1,9.93,33.30
2,9.68,43.06,3,9.71,43.20,4,9.69,43.31,5,9.71,43.49,1,9.61,42.91
2,9.54,52.60,3,9.48,52.68,4,9.49,52.80,5,9.51,53.00,1,9.51,52.42
2,9.31,1:01.91,3,9.33,1:02.01,4,9.35,1:02.15,5,9.41,1:02.41,1,9.32,1:01.74
3,9.12,1:11.03,2,8.78,1:10.79,4,8.99,1:11.14,5,9.38,1:11.79,1,9.01,1:10.75
4,9.31,1:20.34,1,8.83,1:19.62,3,8.97,1:20.11,5,9.64,1:21.43,2,8.98,1:19.73
4,9.75,1:30.091,1,9.04,1:28.655,3,8.92,1:29.023,5,9.91,1:31.341,2,9.02,1:28.744
