Xuan Ming NG POSITION,Xuan Ming NG LAP TIME,Xuan Ming NG ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME
4,15.34,15.34,2,13.72,13.72,1,13.62,13.62,3,13.88,13.88
4,12.24,27.58,3,10.64,24.36,1,10.64,24.26,2,10.46,24.34
3,12.42,40.00,2,10.10,34.46,1,9.99,34.25,4,19.13,43.47
3,13.49,53.49,2,10.22,44.68,1,10.32,44.57,4,16.76,1:00.23
3,14.83,1:08.32,2,10.46,55.14,1,10.48,55.05,4,13.98,1:14.21
3,14.12,1:22.44,2,10.12,1:05.26,1,10.07,1:05.12,4,14.47,1:28.68
3,15.80,1:38.24,2,9.86,1:15.12,1,9.59,1:14.71,4,14.28,1:42.96
3,14.44,1:52.68,2,10.17,1:25.29,1,9.52,1:24.23,4,14.29,1:57.25
2,14.46,2:07.131,0,,PEN,1,9.68,1:33.907,3,14.01,2:11.251
