Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
3,10.910,10.910,1,10.406,10.406,2,10.884,10.884,4,11.015,11.015
3,16.854,27.764,1,16.875,27.281,2,16.771,27.654,4,16.898,27.913
3,15.666,43.429,1,15.538,42.819,2,15.601,43.254,4,15.603,43.515
3,14.865,58.294,1,14.956,57.774,2,14.964,58.218,4,14.942,58.457
2,14.817,1:13.110,1,14.868,1:12.642,3,14.926,1:13.143,4,14.928,1:13.385
2,14.422,1:27.532,1,14.496,1:27.138,4,14.520,1:27.663,3,14.246,1:27.630
3,12.687,1:40.218,1,12.865,1:40.002,4,12.767,1:40.430,2,12.563,1:40.192
3,12.421,1:52.638,1,12.221,1:52.222,4,12.322,1:52.752,2,12.371,1:52.563
4,11.732,2:04.369,1,11.780,2:04.002,3,11.616,2:04.367,2,11.726,2:04.289
4,10.318,2:14.687,1,10.231,2:14.232,2,10.235,2:14.602,3,10.383,2:14.671
3,9.823,2:24.509,1,9.866,2:24.097,2,9.872,2:24.473,4,9.870,2:24.541
4,9.806,2:34.315,1,9.532,2:33.628,3,9.636,2:34.109,2,9.469,2:34.010
4,10.198,2:44.512,1,9.610,2:43.238,3,9.522,2:43.630,2,9.546,2:43.555
4,10.80,2:55.305,3,10.69,2:53.922,2,9.83,2:53.454,1,9.81,2:53.359
