Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Melanie de LANGE POSITION,Melanie de LANGE LAP TIME,Melanie de LANGE ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
1,7.325,7.325,4,7.735,7.735,3,7.444,7.444,2,7.421,7.421
1,9.667,16.992,4,9.707,17.442,3,9.959,17.403,2,9.600,17.020
2,9.408,26.399,3,9.320,26.761,4,9.530,26.932,1,9.346,26.365
2,9.483,35.882,3,9.348,36.109,4,9.791,36.723,1,9.447,35.811
3,9.91,45.786,2,9.63,45.732,4,10.20,46.919,1,9.62,45.431
