Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,10.26,10.26,3,10.75,10.75,2,10.46,,4,11.05,11.05,5,11.22,11.22
2,15.65,25.91,3,15.49,26.24,1,15.44,,4,15.58,26.63,5,15.56,26.78
2,14.93,40.84,3,14.84,41.08,1,14.73,,5,14.77,41.40,4,14.55,41.33
3,13.96,54.80,4,13.92,55.00,1,14.02,,5,13.79,55.19,1,13.32,54.65
2,11.70,1:06.50,5,11.78,1:06.78,3,11.94,,4,11.41,1:06.60,1,11.74,1:06.39
4,10.24,1:16.74,3,9.75,1:16.53,5,10.16,,1,9.87,1:16.47,2,10.13,1:16.52
3,9.59,1:26.33,5,26.05,1:42.58,4,9.73,,2,9.76,1:26.23,1,9.53,1:26.05
3,9.86,1:36.19,5,14.98,1:57.56,4,9.85,,2,9.90,1:36.13,1,9.97,1:36.02
3,10.23,1:46.42,5,12.09,2:09.65,4,10.21,,2,10.19,1:46.32,1,10.20,1:46.22
3,9.84,1:56.26,5,11.42,2:21.07,4,9.87,,2,9.81,1:56.13,1,9.76,1:55.98
3,9.63,2:05.89,5,9.37,2:30.44,4,9.49,,1,9.25,2:05.38,1,9.40,2:05.38
4,26.98,2:32.87,5,9.07,2:39.51,3,10.39,,1,8.76,2:14.14,2,9.04,2:14.42
4,14.77,2:47.64,5,9.36,2:48.87,3,10.32,,1,9.05,2:23.19,2,9.11,2:23.53
4,13.12,3:00.727,3,10.35,2:59.203,3,10.64,,1,9.56,2:32.731,2,9.47,2:32.986
