BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
3,15.28,15.28,1,14.97,14.97,2,15.09,15.09,4,15.39,15.39,5,15.54,15.54
3,11.35,26.63,1,11.43,26.40,2,11.40,26.49,4,11.32,26.71,5,11.27,26.81
4,10.91,37.54,1,10.92,37.32,2,10.93,37.42,3,10.80,37.51,5,10.87,37.68
3,9.75,47.29,1,9.82,47.14,4,9.99,47.41,2,9.69,47.20,5,9.86,47.54
3,9.89,57.18,1,9.83,56.97,4,9.87,57.28,2,9.87,57.07,5,9.87,57.41
3,9.75,1:06.93,1,9.76,1:06.73,4,9.78,1:07.06,2,9.76,1:06.83,5,9.75,1:07.16
3,9.71,1:16.64,1,9.79,1:16.52,4,9.76,1:16.82,2,9.70,1:16.53,5,9.76,1:16.92
2,9.53,1:26.17,3,9.90,1:26.42,5,10.11,1:26.93,1,9.24,1:25.77,4,9.68,1:26.60
2,9.58,1:35.75,3,10.17,1:36.59,5,10.59,1:37.52,1,9.43,1:35.20,4,10.24,1:36.84
