JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
2,13.30,13.30,1,13.10,13.10,3,13.30,13.30,4,13.49,13.49
3,9.82,23.12,1,9.71,22.82,2,9.72,23.02,4,9.82,23.32
3,9.67,32.79,1,9.74,32.57,2,9.66,32.69,4,9.71,33.04
3,10.01,42.81,1,9.90,42.47,2,10.06,42.75,4,9.94,42.98
1,9.75,52.56,2,10.10,52.58,3,9.96,52.72,4,9.90,52.89
2,9.80,1:02.36,1,9.67,1:02.26,3,9.76,1:02.49,4,9.77,1:02.66
2,10.19,1:12.56,1,10.21,1:12.48,3,10.24,1:12.73,4,10.28,1:12.94
2,10.16,1:22.72,1,10.23,1:22.71,3,10.18,1:22.91,4,10.06,1:23.00
2,10.14,1:32.853,1,10.09,1:32.793,3,10.05,1:32.956,4,9.99,1:32.987
