Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,12.93,12.93,4,13.14,13.14,2,12.86,12.86,1,12.83,12.83
3,9.59,22.52,4,9.46,22.60,1,9.46,22.32,2,9.58,22.41
3,9.51,32.03,4,9.53,32.13,2,9.57,31.89,1,9.40,31.81
3,9.46,41.49,4,9.51,41.64,2,9.49,41.38,1,9.47,41.28
3,9.42,50.91,4,9.50,51.14,2,9.34,50.72,1,9.33,50.61
3,9.23,1:00.14,4,9.61,1:00.75,2,9.18,59.90,1,9.19,59.80
3,8.83,1:08.97,4,9.72,1:10.47,2,8.99,1:08.89,1,9.01,1:08.81
3,8.92,1:17.89,4,10.18,1:20.65,2,8.95,1:17.84,1,8.85,1:17.66
2,9.19,1:27.078,4,10.66,1:31.303,3,9.25,1:27.086,1,8.95,1:26.602
