HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,9.24,9.24,5,9.58,9.58,3,9.39,9.39,2,9.33,9.33,4,9.40,9.40
1,12.40,21.64,5,12.47,22.05,4,12.45,21.84,2,12.32,21.65,3,12.27,21.67
2,11.00,32.64,5,10.79,32.84,3,10.88,32.72,4,11.13,32.78,1,10.91,32.58
3,11.09,43.73,5,11.11,43.95,4,11.14,43.86,1,10.77,43.55,2,11.08,43.66
3,11.05,54.78,5,11.06,55.01,4,11.03,54.89,1,11.06,54.61,2,11.03,54.69
1,10.72,1:05.50,5,10.87,1:05.88,4,10.90,1:05.79,2,10.97,1:05.58,3,10.98,1:05.67
1,10.65,1:16.15,5,10.71,1:16.59,4,10.69,1:16.48,2,10.67,1:16.25,3,10.68,1:16.35
1,10.29,1:26.44,5,10.28,1:26.87,4,10.26,1:26.74,2,10.30,1:26.55,3,10.26,1:26.61
1,9.61,1:36.05,5,9.57,1:36.44,4,9.58,1:36.32,2,9.59,1:36.14,3,9.60,1:36.21
1,9.18,1:45.23,5,9.30,1:45.74,4,9.22,1:45.54,3,9.29,1:45.43,2,9.12,1:45.33
1,8.90,1:54.13,5,9.09,1:54.83,4,8.89,1:54.43,3,8.91,1:54.34,2,8.91,1:54.24
1,8.93,2:03.06,5,9.30,2:04.13,4,8.92,2:03.35,3,8.89,2:03.23,2,8.90,2:03.14
1,8.79,2:11.85,5,9.78,2:13.91,4,8.83,2:12.18,3,8.82,2:12.05,2,8.80,2:11.94
1,8.80,2:20.65,5,10.20,2:24.116,4,8.86,2:21.046,3,8.76,2:20.81,2,8.79,2:20.73
