Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,13.85,13.85,3,13.97,13.97,4,14.02,14.02,2,13.88,13.88
2,11.37,25.22,4,11.44,25.41,1,11.01,25.03,3,11.44,25.32
2,10.43,35.65,3,10.32,35.73,1,10.53,35.56,4,10.45,35.77
1,9.32,44.97,4,9.68,45.41,2,9.47,45.03,3,9.49,45.26
1,9.29,54.26,3,9.02,54.43,2,9.25,54.28,4,9.30,54.56
2,9.32,1:03.58,1,9.09,1:03.52,3,9.42,1:03.70,4,9.24,1:03.80
2,9.31,1:12.89,1,9.31,1:12.83,3,9.30,1:13.00,4,9.31,1:13.11
1,9.17,1:22.06,3,9.56,1:22.39,2,9.37,1:22.37,4,9.37,1:22.48
1,9.49,1:31.549,3,9.80,1:32.187,2,9.28,1:31.647,4,9.95,1:32.431
