Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,15.927,15.927,1,15.901,15.901,4,16.185,16.185,3,15.975,15.975
3,11.041,26.967,1,10.841,26.741,4,11.008,27.192,2,10.854,26.829
2,10.478,37.445,1,10.354,37.095,4,10.418,37.610,3,10.617,37.445
4,10.336,47.781,1,10.074,47.169,3,10.001,47.611,2,9.986,47.430
4,9.869,57.649,1,10.061,57.229,3,9.959,57.569,2,10.060,57.489
4,9.921,1:07.570,1,10.025,1:07.254,3,9.934,1:07.503,2,10.011,1:07.500
3,10.039,1:17.609,1,9.713,1:16.967,4,24.958,1:32.461,2,9.511,1:17.010
3,10.435,1:28.043,1,10.196,1:27.162,4,26.827,1:59.287,2,10.199,1:27.209
3,10.67,1:38.709,2,10.03,1:37.183,4,14.89,2:14.168,1,9.89,1:37.091
