LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
2,7.07,7.07,1,6.99,6.99,3,7.15,7.15,4,7.34,7.34
2,9.58,16.65,1,9.54,16.53,3,9.57,16.72,4,9.49,16.83
2,9.17,25.82,1,9.22,25.75,3,9.18,25.90,4,9.21,26.04
1,9.03,34.85,2,9.21,34.96,3,9.16,35.06,4,9.29,35.33
1,8.87,43.711,3,9.27,44.230,2,9.02,44.080,4,9.36,44.689
