Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,13.48,,3,13.64,13.64,1,13.35,13.35,4,13.76,13.76
2,10.21,,3,10.16,23.80,1,10.19,23.54,4,10.14,23.90
2,9.84,,3,9.82,33.62,1,9.87,33.41,4,9.85,33.75
2,9.74,,3,9.73,43.35,1,9.74,43.15,4,9.72,43.47
2,9.59,,3,9.57,52.92,1,9.66,52.81,4,9.53,53.00
4,9.74,,2,9.52,1:02.44,1,9.55,1:02.36,3,9.57,1:02.57
4,9.55,,3,9.60,1:12.04,1,9.58,1:11.94,2,9.45,1:12.02
3,10.52,,4,12.76,1:24.80,2,9.75,1:21.69,1,9.43,1:21.45
3,13.27,,4,16.12,1:40.92,2,10.09,1:31.78,1,9.69,1:31.14
