Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,13.44,13.44,2,13.54,13.54,3,13.68,13.68,4,13.77,13.77
1,10.55,23.99,2,10.54,24.08,3,10.52,24.20,4,10.51,24.28
1,10.13,34.12,2,10.14,34.22,3,10.17,34.37,4,10.16,34.44
1,10.01,44.13,2,10.01,44.23,3,9.97,44.34,4,9.98,44.42
1,9.80,53.93,3,9.92,54.15,4,9.88,54.22,2,9.60,54.02
1,9.88,1:03.81,3,9.85,1:04.00,4,9.90,1:04.12,2,9.87,1:03.89
2,9.79,1:13.60,3,9.80,1:13.80,4,9.80,1:13.92,1,9.70,1:13.59
2,9.44,1:23.04,3,9.73,1:23.53,4,9.62,1:23.54,1,9.31,1:22.90
1,9.29,1:32.321,0,,DQ,3,15.90,1:39.438,2,9.44,1:32.339
