CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME
6,9.45,9.45,3,9.11,9.11,2,8.93,8.93,1,8.78,8.78,4,9.27,9.27,8,9.80,9.80,7,9.55,9.55,5,9.33,9.33
6,12.51,21.96,5,12.58,21.69,4,12.75,21.68,3,12.79,21.57,2,12.24,21.51,8,12.52,22.32,7,12.54,22.09,1,12.12,21.45
6,10.73,32.69,1,10.43,32.12,5,10.86,32.54,4,10.88,32.45,2,10.71,32.22,8,10.61,32.93,7,10.71,32.80,3,10.90,32.35
6,11.02,43.71,3,11.13,43.25,1,10.41,42.95,5,11.12,43.57,2,10.88,43.10,8,11.00,43.93,7,11.02,43.82,4,11.09,43.44
6,10.38,54.09,4,10.60,53.85,2,10.62,53.57,5,10.40,53.97,3,10.59,53.69,8,10.40,54.33,7,10.38,54.20,1,9.96,53.40
6,9.90,1:03.99,4,9.93,1:03.78,2,10.02,1:03.59,5,9.91,1:03.88,3,9.99,1:03.68,8,9.86,1:04.19,7,9.86,1:04.06,1,10.10,1:03.50
6,9.98,1:13.97,5,10.03,1:13.81,2,10.03,1:13.62,2,9.74,1:13.62,4,10.03,1:13.71,8,9.98,1:14.17,7,10.00,1:14.06,1,10.02,1:13.52
6,9.46,1:23.43,4,9.40,1:23.21,3,9.50,1:23.12,1,9.36,1:22.98,5,9.58,1:23.29,8,9.48,1:23.65,7,9.49,1:23.55,2,9.58,1:23.10
5,9.50,1:32.93,3,9.48,1:32.69,2,9.47,1:32.59,1,9.50,1:32.48,6,9.67,1:32.96,8,9.60,1:33.25,7,9.57,1:33.12,4,9.77,1:32.87
3,9.72,1:42.65,7,23.39,1:56.08,8,40.18,2:12.77,1,9.84,1:42.32,4,9.88,1:42.84,6,9.83,1:43.08,5,9.88,1:43.00,2,9.73,1:42.60
1,9.56,1:52.21,7,20.83,2:16.91,8,22.12,2:34.89,2,9.91,1:52.23,4,9.62,1:52.46,5,9.75,1:52.83,6,9.91,1:52.91,3,9.80,1:52.40
1,9.34,2:01.55,7,13.55,2:30.46,8,11.97,2:46.86,2,9.82,2:02.05,5,9.84,2:02.30,4,9.45,2:02.28,6,10.14,2:03.05,3,9.78,2:02.18
1,9.73,2:11.28,7,12.50,2:42.96,8,10.61,2:57.47,2,9.86,2:11.91,5,9.94,2:12.24,3,9.65,2:11.93,6,10.46,2:13.51,4,9.96,2:12.14
1,10.08,2:21.338,7,12.28,2:55.222,8,10.58,3:08.024,3,10.11,2:22.015,5,10.04,2:22.265,2,9.73,2:21.640,6,10.98,2:24.476,4,10.06,2:22.175
