Adam KOVACS POSITION,Adam KOVACS LAP TIME,Adam KOVACS ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME
4,15.235,15.235,1,14.855,14.855,3,15.175,15.175,2,15.047,15.047
3,12.603,27.838,1,12.758,27.612,4,13.012,28.186,2,12.650,27.697
3,11.261,39.098,2,11.397,39.009,4,11.089,39.275,1,11.249,38.946
2,10.193,49.290,3,10.347,49.355,4,10.109,49.384,1,10.116,49.062
2,9.796,59.086,4,9.817,59.172,3,9.788,59.171,1,9.960,59.022
2,9.824,1:08.909,4,9.907,1:09.079,3,9.750,1:08.921,1,9.714,1:08.735
4,9.680,1:18.588,3,9.500,1:18.578,2,9.587,1:18.508,1,9.433,1:18.168
3,9.338,1:27.926,4,9.401,1:27.979,2,9.374,1:27.881,1,9.630,1:27.798
0,,DQ,3,10.18,1:38.158,2,10.13,1:38.009,1,9.85,1:37.644
